Codigo;Nombre
ES-AN;Andalucia
ES-AR;Aragon
ES-AS;Asturias
FR-84;Auvergne-Rhône-Alpes
ES-IB;Baleares
FR-27;Bourgogne-Franche-Comté
FR-53;Bretagne
ES-CN;Canarias
ES-CB;Cantabria
ES-CM;Castilla - La Mancha
ES-CL;Castilla - Leon
ES-CT;Cataluna
FR-24;Centre
ES-CE;Ceuta
ES-VC;Comunidad Valenciana
FR-94;Corse
ES-EX;Extremadura
ES-GA;Galicia
FR-44;Grand-Est
FR-32;Hauts-de-France
FR-11;Île-de-France
ES-RI;La Rioja
ES-MD;Madrid
ES-ML;Melilla
ES-MC;Murcia
ES-NC;Navarra
FR-28;Normandie
FR-75;Nouvelle-Aquitaine
FR-76;Occitanie
ES-PV;Pais Vasco
FR-52;Pays de la Loire
FR-93;Provence-Alpes-Côte d'Azur
